design,tau_shape,n_per_arm,lambda,rank,crit_wald,power_wald,crit_tmax,power_tmax,power_rw_any
DiD_parametric,diffuse_PL,100,4.542333434820515,6,12.591587243743978,0.30563702562545136,2.585352890704523,0.21895,0.204
DiD_parametric,diffuse_PL,150,6.813500152230773,6,12.591587243743978,0.45610614313378317,2.585352890704523,0.3068,0.2986
DiD_parametric,diffuse_PL,200,9.08466686964103,6,12.591587243743978,0.5942419575219103,2.585352890704523,0.4117,0.397
DiD_parametric,diffuse_PL,250,11.355833587051286,6,12.591587243743978,0.7098670241186069,2.585352890704523,0.50915,0.4992
DiD_parametric,diffuse_PL,300,13.627000304461546,6,12.591587243743978,0.8000930615730386,2.585352890704523,0.58945,0.5826
DiD_parametric,diffuse_PL,350,15.898167021871796,6,12.591587243743978,0.8666796199303888,2.585352890704523,0.6654,0.6582
DiD_parametric,diffuse_PL,400,18.16933373928206,6,12.591587243743978,0.9136193751619385,2.585352890704523,0.73895,0.735
DiD_parametric,diffuse_PL,450,20.440500456692323,6,12.591587243743978,0.945457287575448,2.585352890704523,0.7953,0.785
DiD_parametric,diffuse_PL,500,22.711667174102573,6,12.591587243743978,0.9663492959066682,2.585352890704523,0.83485,0.8338
DiD_parametric,diffuse_PL,550,24.982833891512847,6,12.591587243743978,0.9796692726803,2.585352890704523,0.8755,0.8706
DiD_parametric,diffuse_PL,600,27.254000608923093,6,12.591587243743978,0.987948598044548,2.585352890704523,0.9054,0.9038
DiD_parametric,diffuse_PL,650,29.52516732633334,6,12.591587243743978,0.9929796543662363,2.585352890704523,0.9302,0.9288
DiD_parametric,diffuse_PL,700,31.79633404374359,6,12.591587243743978,0.9959753135802789,2.585352890704523,0.94615,0.9438
DiD_parametric,diffuse_PL,750,34.06750076115385,6,12.591587243743978,0.9977264912970547,2.585352890704523,0.96375,0.9596
DiD_parametric,diffuse_PL,800,36.33866747856412,6,12.591587243743978,0.9987331493274794,2.585352890704523,0.9724,0.9708
DiD_parametric,diffuse_PL,850,38.60983419597438,6,12.591587243743978,0.9993029935305852,2.585352890704523,0.9802,0.9794
DiD_parametric,diffuse_PL,900,40.881000913384646,6,12.591587243743978,0.9996210319481733,2.585352890704523,0.9867,0.9878
DiD_parametric,diffuse_PL,950,43.15216763079489,6,12.591587243743978,0.9997962231084113,2.585352890704523,0.98985,0.9882
DiD_parametric,diffuse_PL,1000,45.423334348205145,6,12.591587243743978,0.9998915594112149,2.585352890704523,0.99425,0.9944
DiD_parametric,diffuse_PL,1050,47.694501065615384,6,12.591587243743978,0.9999428545018971,2.585352890704523,0.9956,0.9956
DiD_parametric,diffuse_PL,1100,49.965667783025694,6,12.591587243743978,0.999970162085572,2.585352890704523,0.9975,0.9974
