pair_id,first_option,second_option,p_T_pre,p_T_post,p_C_pre,p_C_post,delta_T,delta_C,tau_did,tau_post_only,se,t,ci_lower,ci_upper,p_raw,p_adj_rw,reject_rw_05
animal_rescue > community_clinic,animal_rescue,community_clinic,0.28125,0.1875,0.3,0.3,-0.09375,0,-0.09375,-0.11249999999999999,0.0689695906576505,-1.359294713888529,-0.22893039768899498,0.04143039768899498,0.23687631236876314,0.7569243075692431,FALSE
animal_rescue > food_pantry,animal_rescue,food_pantry,0.21875,0.21875,0.23333333333333334,0.23333333333333334,0,0,0,-0.014583333333333337,0.04490132550669373,0,-0.0880065979931197,0.0880065979931197,1,1,FALSE
animal_rescue > urban_tree,animal_rescue,urban_tree,0.65625,0.59375,0.8666666666666667,0.8666666666666667,-0.0625,0,-0.0625,-0.2729166666666667,0.04347552147751577,-1.4375905768565218,-0.14771202209593093,0.022712022095930914,0.49435056494350565,0.7569243075692431,FALSE
community_clinic > food_pantry,community_clinic,food_pantry,0.4375,0.53125,0.36666666666666664,0.3333333333333333,0.09375,-0.03333333333333333,0.12708333333333333,0.19791666666666669,0.07660232076507201,1.659001085921132,-0.023057215366207806,0.27722388203287446,0.13558644135586442,0.388961103889611,FALSE
community_clinic > urban_tree,community_clinic,urban_tree,0.8125,0.75,0.8666666666666667,0.8666666666666667,-0.0625,0,-0.0625,-0.1166666666666667,0.04347552147751577,-1.4375905768565218,-0.14771202209593093,0.022712022095930914,0.49755024497550243,0.7569243075692431,FALSE
food_pantry > urban_tree,food_pantry,urban_tree,0.84375,0.8125,0.9333333333333333,0.9333333333333333,-0.03125,0,-0.03125,-0.12083333333333335,0.05470549819038361,-0.5712405705774793,-0.13847277645315187,0.07597277645315187,0.6495350464953504,0.823917608239176,FALSE
