k,statistic,null_q50,null_q90,null_q95,null_q99,null_mean,null_sd
3,plurality,0.11848482440807245,0.21823097092007,0.23734605911330048,0.31801406324487524,0.12570040262990625,0.06385035582738208
3,borda,0.09949000873986968,0.2024135944700461,0.23097762394724297,0.29104509971396836,0.11219672513109805,0.06307452281347334
3,irv,0.11099982122993807,0.20589196329254728,0.22805830883521372,0.288131058318767,0.11912179127602097,0.059876370038608004
3,copeland,0.10420208962339106,0.20008283012871447,0.22351943627840465,0.2909728964722708,0.11282185285237566,0.06041512601583525
3,condorcet,0.013475290004767215,0.03154060066740822,0.03618817535356757,0.04510052836484981,0.01543833704115684,0.011107569313788061
5,plurality,0.14325,0.2652750000000001,0.2919999999999999,0.3922625000000003,0.1556939,0.0796065681582166
5,borda,0.11524999999999996,0.24924999999999994,0.29376250000000004,0.36225250000000003,0.1319453,0.08316974644818181
5,irv,0.11775000000000002,0.24,0.28053750000000016,0.34425500000000014,0.13262565,0.07589546181295863
5,copeland,0.12200000000000003,0.2455,0.26749999999999996,0.35675,0.129679,0.07987741491988118
5,condorcet,0.013749999999999929,0.03325,0.039249999999999896,0.05149999999999999,0.016012900000000007,0.012026369373258931
7,plurality,0.165625,0.3205,0.3545125,0.47901000000000027,0.18351715,0.10021736861728119
7,borda,0.12700000000000003,0.28400000000000003,0.3335250000000001,0.4177625000000003,0.1458769,0.09739683195548504
7,irv,0.13375000000000004,0.29274999999999995,0.3395125,0.4182550000000001,0.15311025,0.09515161111750632
7,copeland,0.13974999999999999,0.2853000000000002,0.3050125,0.4185,0.1431847,0.0966372448247955
7,condorcet,0.010999999999999899,0.02849999999999997,0.03425000000000001,0.050002500000000095,0.013544200000000008,0.011122779086312946
