control_dgp,delta_target_pp,delta_realised,delta_realised_pp,dbar_C,dbar_T,zeta_1_C,zeta_1_T,n_per_arm_80,n_total_80
uniform_K4,3,-0.030274914266666675,-3.0274914266666677,0.49999999493333336,0.4697250806666667,6.963641238333974e-10,0.003748469015122685,150,300
phase1_empirical,3,-0.03103579053333333,-3.103579053333333,0.3017165549333333,0.2706807644,0.013240357668991561,0.010833179115849566,800,1600
uniform_K4,5,-0.049226806133333356,-4.922680613333336,0.49999999493333336,0.4507731888,6.963641238333974e-10,0.005633416746596708,100,200
phase1_empirical,5,-0.050101649599999964,-5.0101649599999964,0.3017165549333333,0.25161490533333336,0.013240357668991561,0.0105293850497827,300,600
uniform_K4,8,-0.08009054520000003,-8.009054520000003,0.49999999493333336,0.41990944973333333,6.963641238333974e-10,0.008046171988944098,50,100
phase1_empirical,8,-0.0811567808,-8.115678079999999,0.3017165549333333,0.22055977413333333,0.013240357668991561,0.009952902251951359,150,300
uniform_K4,10,-0.09979665560000006,-9.979665560000006,0.49999999493333336,0.4002033393333333,6.963641238333974e-10,0.00911489797158517,50,100
phase1_empirical,10,-0.0998856776,-9.98856776,0.3017165549333333,0.20183087733333333,0.013240357668991561,0.009361372692945475,100,200
