phase,n_groups,p_condorcet_exists,p_outcome_equals_condorcet,p_outcome_equals_condorcet_given_exists
after,6000,0.9515,0.5468333333333333,0.5747066036083377
before,6000,0.9731666666666666,0.497,0.5107038876519953
