model,label,n,r_squared,adj_r_squared,aic,bic
changed_top_lpm,Top-choice change (LPM),17,0.12406209403182816,-0.16791720795756238,25.203218681211357,30.202498745548656
footrule_ols,Ranking distance (OLS),17,0.32726703089159687,0.10302270785546241,64.75066606892493,69.74994613326223
clinic_gain_ols,Clinic rank gain (OLS),17,0.18694945888749168,-0.08406738815001091,41.78366197034151,46.78294203467881
