n_per_arm,n_total,sims,ri_b,alpha,power,rejection_count,mean_p_value,mean_tau_observed,sd_tau_observed
12,24,10,29,0.05,0,0,0.6333333333333333,0.0539141414141414,0.07369779794468573
16,32,10,29,0.05,0,0,0.6366666666666666,0.017925824175824168,0.06532909685964339
