n_per_arm,n_total,sims,ri_b,alpha,power,rejection_count,mean_p_value,mean_tau_observed,sd_tau_observed
8,16,20,49,0.05,0.05,1,0.664,0.09464285714285714,0.1665200303734498
10,20,20,49,0.05,0.05,1,0.534,0.01924603174603174,0.15282062782652958
