synthetic_group_id,sampled_from_unique_group,group_members,phase,condorcet_exists,condorcet_winner,group_outcome_rule,group_outcome,outcome_matches_condorcet
20,20,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,61fecb490ab2,8d4b92f5ba5d",before,TRUE,community_clinic,plurality,NA,FALSE
20,20,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,61fecb490ab2,8d4b92f5ba5d",after,TRUE,community_clinic,plurality,community_clinic,TRUE
21,21,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,61fecb490ab2,60d929ceffa5",before,TRUE,community_clinic,plurality,NA,FALSE
21,21,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,61fecb490ab2,60d929ceffa5",after,TRUE,community_clinic,plurality,NA,FALSE
22,22,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,61fecb490ab2,84b4783bae78",before,TRUE,community_clinic,plurality,NA,FALSE
22,22,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,61fecb490ab2,84b4783bae78",after,TRUE,community_clinic,plurality,NA,FALSE
23,23,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,61fecb490ab2,455dbb067ce7",before,TRUE,community_clinic,plurality,NA,FALSE
23,23,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,61fecb490ab2,455dbb067ce7",after,TRUE,community_clinic,plurality,NA,FALSE
24,24,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,61fecb490ab2,8948e22761d2",before,TRUE,community_clinic,plurality,community_clinic,TRUE
24,24,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,61fecb490ab2,8948e22761d2",after,TRUE,community_clinic,plurality,community_clinic,TRUE
25,25,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,61fecb490ab2,f302a80daf1f",before,TRUE,community_clinic,plurality,NA,FALSE
25,25,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,61fecb490ab2,f302a80daf1f",after,TRUE,community_clinic,plurality,NA,FALSE
26,26,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,15f012a0dc2c",before,TRUE,food_pantry,plurality,NA,FALSE
26,26,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,15f012a0dc2c",after,TRUE,community_clinic,plurality,community_clinic,TRUE
27,27,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,b7252e46e281",before,TRUE,food_pantry,plurality,food_pantry,TRUE
27,27,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,b7252e46e281",after,TRUE,community_clinic,plurality,community_clinic,TRUE
28,28,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,679457c68ee8",before,TRUE,food_pantry,plurality,NA,FALSE
28,28,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,679457c68ee8",after,TRUE,community_clinic,plurality,community_clinic,TRUE
29,29,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,116a3ebe9814",before,TRUE,community_clinic,plurality,community_clinic,TRUE
29,29,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,116a3ebe9814",after,TRUE,community_clinic,plurality,community_clinic,TRUE
30,30,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,ec338cde8cdc",before,TRUE,food_pantry,plurality,NA,FALSE
30,30,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,ec338cde8cdc",after,TRUE,community_clinic,plurality,community_clinic,TRUE
31,31,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,8d4b92f5ba5d",before,TRUE,food_pantry,plurality,NA,FALSE
31,31,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,8d4b92f5ba5d",after,TRUE,community_clinic,plurality,community_clinic,TRUE
32,32,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,60d929ceffa5",before,TRUE,food_pantry,plurality,food_pantry,TRUE
32,32,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,60d929ceffa5",after,TRUE,community_clinic,plurality,community_clinic,TRUE
33,33,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,84b4783bae78",before,TRUE,food_pantry,plurality,food_pantry,TRUE
33,33,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,84b4783bae78",after,TRUE,community_clinic,plurality,community_clinic,TRUE
34,34,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,455dbb067ce7",before,TRUE,food_pantry,plurality,food_pantry,TRUE
34,34,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,455dbb067ce7",after,TRUE,community_clinic,plurality,community_clinic,TRUE
35,35,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,8948e22761d2",before,TRUE,community_clinic,plurality,community_clinic,TRUE
35,35,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,8948e22761d2",after,TRUE,community_clinic,plurality,community_clinic,TRUE
36,36,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,f302a80daf1f",before,TRUE,food_pantry,plurality,NA,FALSE
36,36,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,ad571f253120,f302a80daf1f",after,TRUE,community_clinic,plurality,community_clinic,TRUE
37,37,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,b7252e46e281",before,TRUE,food_pantry,plurality,NA,FALSE
37,37,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,b7252e46e281",after,TRUE,food_pantry,plurality,NA,FALSE
38,38,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,679457c68ee8",before,TRUE,food_pantry,plurality,NA,FALSE
38,38,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,679457c68ee8",after,TRUE,food_pantry,plurality,NA,FALSE
39,39,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,116a3ebe9814",before,TRUE,community_clinic,plurality,community_clinic,TRUE
39,39,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,116a3ebe9814",after,TRUE,community_clinic,plurality,community_clinic,TRUE
40,40,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,ec338cde8cdc",before,TRUE,food_pantry,plurality,community_clinic,FALSE
40,40,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,ec338cde8cdc",after,TRUE,community_clinic,plurality,community_clinic,TRUE
41,41,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,8d4b92f5ba5d",before,TRUE,food_pantry,plurality,community_clinic,FALSE
41,41,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,8d4b92f5ba5d",after,TRUE,community_clinic,plurality,community_clinic,TRUE
42,42,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,60d929ceffa5",before,TRUE,food_pantry,plurality,NA,FALSE
42,42,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,60d929ceffa5",after,TRUE,food_pantry,plurality,NA,FALSE
43,43,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,84b4783bae78",before,TRUE,food_pantry,plurality,NA,FALSE
43,43,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,84b4783bae78",after,TRUE,food_pantry,plurality,NA,FALSE
44,44,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,455dbb067ce7",before,TRUE,food_pantry,plurality,NA,FALSE
44,44,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,455dbb067ce7",after,TRUE,food_pantry,plurality,NA,FALSE
45,45,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,8948e22761d2",before,TRUE,community_clinic,plurality,community_clinic,TRUE
45,45,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,8948e22761d2",after,TRUE,community_clinic,plurality,community_clinic,TRUE
46,46,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,f302a80daf1f",before,TRUE,food_pantry,plurality,community_clinic,FALSE
46,46,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,15f012a0dc2c,f302a80daf1f",after,TRUE,food_pantry,plurality,community_clinic,FALSE
47,47,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,b7252e46e281,679457c68ee8",before,TRUE,food_pantry,plurality,NA,FALSE
47,47,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,b7252e46e281,679457c68ee8",after,TRUE,food_pantry,plurality,NA,FALSE
48,48,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,b7252e46e281,116a3ebe9814",before,TRUE,community_clinic,plurality,community_clinic,TRUE
48,48,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,b7252e46e281,116a3ebe9814",after,TRUE,community_clinic,plurality,community_clinic,TRUE
49,49,"3c5387b0da49,9d9c3d6a7d9c,e384b04afce3,b7252e46e281,ec338cde8cdc",before,TRUE,food_pantry,plurality,NA,FALSE
